Date,Price,Open,High,Low,Vol.,Change %
2021-03-31 00:00:00,291.02,294,294.42,290.26,47.00M,-0.0076
2021-03-30 00:00:00,293.25,294.86,295.72,291.5,38.81M,-0.0002
2021-03-29 00:00:00,293.3,289.72,294.09,289.26,43.68M,0.0071
2021-03-26 00:00:00,291.22,288.63,292.75,288.32,56.07M,0.0159
2021-03-25 00:00:00,286.66,286.5,287.03,283.85,35.22M,0.003
2021-03-24 00:00:00,285.79,283.4,288,282.25,46.41M,0.0113
2021-03-23 00:00:00,282.6,287.56,288.3,282.11,70.76M,-0.021
2021-03-22 00:00:00,288.65,285,291.2,283.08,62.76M,0.0111
2021-03-19 00:00:00,285.47,279,286.31,278.03,84.25M,0.0223
2021-03-18 00:00:00,279.25,284.04,285.79,278.24,74.13M,-0.0145
2021-03-17 00:00:00,283.35,292.35,293.25,279.6,110.29M,-0.0307
2021-03-16 00:00:00,292.33,293.06,293.88,288.61,53.92M,-0.0014
2021-03-15 00:00:00,292.74,286.05,292.92,285.28,67.81M,0.0274
2021-03-12 00:00:00,284.93,286.3,287.49,282.82,51.54M,-0.0037
2021-03-11 00:00:00,286,283.84,286.38,282.3,47.37M,0.0133
2021-03-10 00:00:00,282.24,285.24,288,281,55.16M,-0.0124
2021-03-09 00:00:00,285.79,278.8,286.38,277.56,72.79M,0.0299
2021-03-05 00:00:00,277.5,276,278.98,272.76,83.55M,0.01
2021-03-04 00:00:00,274.75,278.5,281.96,273.63,91.99M,-0.0117
2021-03-03 00:00:00,278.01,281.7,283.83,277.63,64.28M,-0.0039
2021-03-02 00:00:00,279.1,271.89,280,271.6,71.57M,0.0202
2021-03-01 00:00:00,273.58,273,274.73,271.13,35.96M,0.0126
2021-02-26 00:00:00,270.17,268,272.49,266.43,74.89M,-0.002
2021-02-25 00:00:00,270.71,273.6,276.48,270.65,79.72M,-0.0044
2021-02-24 00:00:00,271.9,272.12,272.75,269.42,64.19M,-0.0066
2021-02-22 00:00:00,273.71,270.1,274.46,268.12,48.13M,0.0118
2021-02-20 00:00:00,270.51,271,271,269.02,8.76M,-0.0031
2021-02-19 00:00:00,271.34,266.12,272.81,264.19,59.27M,0.0163
2021-02-18 00:00:00,266.99,270.35,272.46,266.21,58.73M,-0.0144
2021-02-17 00:00:00,270.9,270.99,275.07,267.56,79.10M,0.0
2021-02-16 00:00:00,270.9,272.3,272.8,268.27,63.10M,-0.0033
2021-02-15 00:00:00,271.81,268.49,271.87,267.07,56.95M,0.0218
2021-02-12 00:00:00,266,264,266.44,258.55,81.66M,0.0049
2021-02-11 00:00:00,264.7,265.5,266.9,263.75,38.67M,-0.0045
2021-02-10 00:00:00,265.9,269.28,270.99,265.2,63.09M,-0.0115
2021-02-09 00:00:00,268.98,275.99,276.29,267.19,91.92M,-0.0226
2021-02-08 00:00:00,275.2,273.01,275.58,272.32,51.88M,0.0129
2021-02-05 00:00:00,271.7,271.99,272.57,268.87,71.81M,0.0059
2021-02-04 00:00:00,270.11,263.21,270.6,262.34,78.93M,0.025
2021-02-03 00:00:00,263.53,264.32,268.14,261.05,77.65M,0.0014
2021-02-02 00:00:00,263.15,265,268.39,263.05,79.53M,-0.0025
2021-02-01 00:00:00,263.8,260,264.06,258.73,63.13M,0.022
2021-01-29 00:00:00,258.11,263.77,264.75,257.36,120.12M,-0.0295
2021-01-28 00:00:00,265.96,263.5,267.17,261.17,81.25M,0.0017
2021-01-27 00:00:00,265.5,270.07,273.8,265.02,100.09M,-0.0143
2021-01-26 00:00:00,269.34,262.7,269.57,262.61,75.23M,0.0152
2021-01-25 00:00:00,265.3,271,273.63,261.65,114.33M,-0.011
2021-01-22 00:00:00,268.25,273,273.3,266.78,87.01M,-0.0224
2021-01-21 00:00:00,274.4,280.75,281.54,272.84,83.80M,-0.0193
2021-01-20 00:00:00,279.8,278.62,282.49,276.77,47.94M,0.0058
2021-01-19 00:00:00,278.19,280.98,282.8,276.42,56.00M,-0.0057
2021-01-18 00:00:00,279.79,275.72,281.3,272.95,73.94M,0.0104
2021-01-15 00:00:00,276.9,282.55,286.16,276,73.77M,-0.0277
2021-01-14 00:00:00,284.79,284,286.9,279.06,74.67M,0.0036
2021-01-13 00:00:00,283.78,291.01,292.46,283.1,67.56M,-0.0214
2021-01-12 00:00:00,289.99,290.88,296.07,286.7,78.96M,0.0017
2021-01-11 00:00:00,289.49,282.86,292.95,279.48,112.35M,0.0206
2021-01-08 00:00:00,283.64,275.11,283.99,275.11,88.93M,0.0392
2021-01-06 00:00:00,272.93,275.94,275.94,271.62,40.95M,-0.0082
